monkey-KM-E-k12-Run22.clu	CON 	cluster 12 	(397 objects):	82.2361
monkey-KM-E-k12-Run22.clu	CON 	cluster 3 	(411 objects):	127.934
monkey-KM-E-k12-Run22.clu	CON 	cluster 7 	(354 objects):	79.5487
monkey-KM-E-k12-Run22.clu	CON 	cluster 10 	(194 objects):	78.9933
monkey-KM-E-k12-Run22.clu	CON 	cluster 5 	(206 objects):	67.3303
monkey-KM-E-k12-Run22.clu	CON 	cluster 11 	(231 objects):	43.455
monkey-KM-E-k12-Run22.clu	CON 	cluster 4 	(261 objects):	109.921
monkey-KM-E-k12-Run22.clu	CON 	cluster 1 	(466 objects):	15.0051
monkey-KM-E-k12-Run22.clu	CON 	cluster 9 	(268 objects):	78.0534
monkey-KM-E-k12-Run22.clu	DEV 	cluster 8 	(436 objects):	871.518
monkey-KM-E-k12-Run22.clu	DEV 	cluster 6 	(510 objects):	1048.79
monkey-KM-E-k12-Run22.clu	DEV 	cluster 2 	(266 objects):	633.625
monkey-KM-E-k12-Run22.clu	DEV 	cluster 12 	(397 objects):	806.873
monkey-KM-E-k12-Run22.clu	DEV 	cluster 3 	(411 objects):	809.308
monkey-KM-E-k12-Run22.clu	DEV 	cluster 7 	(354 objects):	676.356
monkey-KM-E-k12-Run22.clu	DEV 	cluster 10 	(194 objects):	513.216
monkey-KM-E-k12-Run22.clu	DEV 	cluster 5 	(206 objects):	536.789
monkey-KM-E-k12-Run22.clu	DEV 	cluster 11 	(231 objects):	548.943
monkey-KM-E-k12-Run22.clu	DEV 	cluster 4 	(261 objects):	781.473
monkey-KM-E-k12-Run22.clu	DEV 	cluster 1 	(466 objects):	1723.51
monkey-KM-E-k12-Run22.clu	DEV 	cluster 9 	(268 objects):	854.608
monkey-KM-E-k12-Run22.clu	VAR 	cluster 8 	(436 objects):	1.41382
monkey-KM-E-k12-Run22.clu	VAR 	cluster 6 	(510 objects):	1.43404
monkey-KM-E-k12-Run22.clu	VAR 	cluster 2 	(266 objects):	1.54339
monkey-KM-E-k12-Run22.clu	VAR 	cluster 12 	(397 objects):	1.42563
monkey-KM-E-k12-Run22.clu	VAR 	cluster 3 	(411 objects):	1.40325
monkey-KM-E-k12-Run22.clu	VAR 	cluster 7 	(354 objects):	1.38225
monkey-KM-E-k12-Run22.clu	VAR 	cluster 10 	(194 objects):	1.62648
monkey-KM-E-k12-Run22.clu	VAR 	cluster 5 	(206 objects):	1.61424
monkey-KM-E-k12-Run22.clu	VAR 	cluster 11 	(231 objects):	1.54155
monkey-KM-E-k12-Run22.clu	VAR 	cluster 4 	(261 objects):	1.73036
monkey-KM-E-k12-Run22.clu	VAR 	cluster 1 	(466 objects):	1.92316
monkey-KM-E-k12-Run22.clu	VAR 	cluster 9 	(268 objects):	1.78573
monkey-KM-E-k12-Run22.clu	SIL 	cluster 8 	(436 objects):	0.869785
monkey-KM-E-k12-Run22.clu	SIL 	cluster 6 	(510 objects):	0.867428
monkey-KM-E-k12-Run22.clu	SIL 	cluster 2 	(266 objects):	0.873047
monkey-KM-E-k12-Run22.clu	SIL 	cluster 12 	(397 objects):	0.886969
monkey-KM-E-k12-Run22.clu	SIL 	cluster 3 	(411 objects):	0.86632
monkey-KM-E-k12-Run22.clu	SIL 	cluster 7 	(354 objects):	0.896913
monkey-KM-E-k12-Run22.clu	SIL 	cluster 10 	(194 objects):	0.865022
monkey-KM-E-k12-Run22.clu	SIL 	cluster 5 	(206 objects):	0.868118
monkey-KM-E-k12-Run22.clu	SIL 	cluster 11 	(231 objects):	0.890792
monkey-KM-E-k12-Run22.clu	SIL 	cluster 4 	(261 objects):	0.869564
monkey-KM-E-k12-Run22.clu	SIL 	cluster 1 	(466 objects):	0.859464
monkey-KM-E-k12-Run22.clu	SIL 	cluster 9 	(268 objects):	0.881355
monkey-SL-E-k5.clu	CON 	cluster 1 	(1000 objects):	19.5466
monkey-SL-E-k5.clu	CON 	cluster 2 	(500 objects):	0.779758
monkey-SL-E-k5.clu	CON 	cluster 3 	(500 objects):	1.62176
monkey-SL-E-k5.clu	CON 	cluster 4 	(500 objects):	51.1495
monkey-SL-E-k5.clu	CON 	cluster 5 	(1500 objects):	323.772
monkey-SL-E-k5.clu	DEV 	cluster 1 	(1000 objects):	3659.34
monkey-SL-E-k5.clu	DEV 	cluster 2 	(500 objects):	903.923
monkey-SL-E-k5.clu	DEV 	cluster 3 	(500 objects):	950.719
monkey-SL-E-k5.clu	DEV 	cluster 4 	(500 objects):	3090.2
monkey-SL-E-k5.clu	DEV 	cluster 5 	(1500 objects):	22735.4
monkey-SL-E-k5.clu	VAR 	cluster 1 	(1000 objects):	1.91294
monkey-SL-E-k5.clu	VAR 	cluster 2 	(500 objects):	1.34456
monkey-SL-E-k5.clu	VAR 	cluster 3 	(500 objects):	1.37893
monkey-SL-E-k5.clu	VAR 	cluster 4 	(500 objects):	2.48604
monkey-SL-E-k5.clu	VAR 	cluster 5 	(1500 objects):	3.89319
monkey-SL-E-k5.clu	SIL 	cluster 1 	(1000 objects):	0.685598
monkey-SL-E-k5.clu	SIL 	cluster 2 	(500 objects):	0.842546
monkey-SL-E-k5.clu	SIL 	cluster 3 	(500 objects):	0.838144
monkey-SL-E-k5.clu	SIL 	cluster 4 	(500 objects):	0.555103
monkey-SL-E-k5.clu	SIL 	cluster 5 	(1500 objects):	0.0250036
monkey-SL-E-k2.clu	CON 	cluster 1 	(1500 objects):	22.095
monkey-SL-E-k2.clu	CON 	cluster 2 	(2500 objects):	196.273
monkey-SL-E-k2.clu	DEV 	cluster 1 	(1500 objects):	7598.07
monkey-SL-E-k2.clu	DEV 	cluster 2 	(2500 objects):	26737
monkey-SL-E-k2.clu	VAR 	cluster 1 	(1500 objects):	2.25064
monkey-SL-E-k2.clu	VAR 	cluster 2 	(2500 objects):	3.27029
monkey-SL-E-k2.clu	SIL 	cluster 1 	(1500 objects):	0.492451
monkey-SL-E-k2.clu	SIL 	cluster 2 	(2500 objects):	-0.114098
monkey-KM-E-k11-Run21.clu	CON 	cluster 8 	(516 objects):	75.1324
monkey-KM-E-k11-Run21.clu	CON 	cluster 1 	(489 objects):	95.2625
monkey-KM-E-k11-Run21.clu	CON 	cluster 5 	(462 objects):	88.0806
monkey-KM-E-k11-Run21.clu	CON 	cluster 7 	(407 objects):	121
monkey-KM-E-k11-Run21.clu	CON 	cluster 2 	(355 objects):	82.238
monkey-KM-E-k11-Run21.clu	CON 	cluster 6 	(286 objects):	74.1875
monkey-KM-E-k11-Run21.clu	CON 	cluster 10 	(243 objects):	68.5766
monkey-KM-E-k11-Run21.clu	CON 	cluster 3 	(238 objects):	52.2572
monkey-KM-E-k11-Run21.clu	CON 	cluster 11 	(262 objects):	109.913
monkey-KM-E-k11-Run21.clu	CON 	cluster 4 	(466 objects):	15.0051
monkey-KM-E-k11-Run21.clu	CON 	cluster 9 	(276 objects):	76.5015
monkey-KM-E-k11-Run21.clu	DEV 	cluster 8 	(516 objects):	1178.9
monkey-KM-E-k11-Run21.clu	DEV 	cluster 1 	(489 objects):	992.664
monkey-KM-E-k11-Run21.clu	DEV 	cluster 5 	(462 objects):	1028.48
monkey-KM-E-k11-Run21.clu	DEV 	cluster 7 	(407 objects):	795.003
monkey-KM-E-k11-Run21.clu	DEV 	cluster 2 	(355 objects):	681.554
